t_s,phase,speed_index,omega_cmd_rad_s,dir,pos_ref_target,vel_ref_target,kp_target,kd_target,t_ref_target,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tau1_nm,tau2_nm,tau3_nm,tau4_nm,tau5_nm,tau6_nm
4.129001,vel_pos,0,0.050000,1,-0.034907,0.050000,20.000,1.000,0.000,-0.034000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.209081,0.712294,-0.315394,0.006709,-1.179840,-0.072841
4.131068,vel_pos,0,0.050000,1,-0.034803,0.050000,20.000,1.000,0.000,-0.034000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.209081,0.712294,-0.315394,0.006709,-1.179840,-0.072841
4.133126,vel_pos,0,0.050000,1,-0.034700,0.050000,20.000,1.000,0.000,-0.034000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.209081,0.712294,-0.315394,0.006709,-1.179840,-0.072841
4.135023,vel_pos,0,0.050000,1,-0.034605,0.050000,20.000,1.000,0.000,-0.034000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.209081,0.702844,-0.315394,0.008626,-1.179840,-0.047922
4.137060,vel_pos,0,0.050000,1,-0.034504,0.050000,20.000,1.000,0.000,-0.034000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.209081,0.702844,-0.315394,0.008626,-1.179840,-0.047922
4.139067,vel_pos,0,0.050000,1,-0.034403,0.050000,20.000,1.000,0.000,-0.034000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.088594,0.702844,-0.317756,0.008626,-1.166421,-0.045047
4.141056,vel_pos,0,0.050000,1,-0.034304,0.050000,20.000,1.000,0.000,-0.034000,-0.003000,0.000000,0.000000,0.023000,0.001000,-0.088594,0.702844,-0.317756,0.008626,-1.166421,-0.045047
4.143101,vel_pos,0,0.050000,1,-0.034202,0.050000,20.000,1.000,0.000,-0.034000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.009450,0.708750,-0.313031,0.003834,-1.170255,-0.062299
4.145059,vel_pos,0,0.050000,1,-0.034104,0.050000,20.000,1.000,0.000,-0.034000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.009450,0.708750,-0.313031,0.003834,-1.170255,-0.062299
4.147057,vel_pos,0,0.050000,1,-0.034004,0.050000,20.000,1.000,0.000,-0.034000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.009450,0.708750,-0.313031,0.003834,-1.170255,-0.062299
4.149289,vel_pos,0,0.050000,1,-0.033892,0.050000,20.000,1.000,0.000,-0.033000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.101587,0.717019,-0.314213,0.007668,-1.170255,-0.062299
4.151038,vel_pos,0,0.050000,1,-0.033805,0.050000,20.000,1.000,0.000,-0.033000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.101587,0.717019,-0.314213,0.007668,-1.170255,-0.062299
4.153119,vel_pos,0,0.050000,1,-0.033701,0.050000,20.000,1.000,0.000,-0.033000,-0.003000,0.000000,0.000000,0.023000,0.001000,0.101587,0.717019,-0.314213,0.007668,-1.170255,-0.062299
