time_s,joint1_target_angle_rad,joint2_target_angle_rad,joint3_target_angle_rad,joint4_target_angle_rad,joint5_target_angle_rad,joint6_target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm
0.0000,0.000000,0.000000,-0.523599,0.000000,0.000000,0.000000,0.000000,0.012000,-0.530000,0.003000,-0.008000,0.000000,0.000000,0.000000,0.002000,0.007000,0.009000,-0.109000,-0.035438,1.007606,-0.957994,-0.133223,-0.964191,-0.021086
0.0021,0.000000,0.000000,-0.523599,0.000000,0.000000,0.000000,0.000000,0.012000,-0.530000,0.003000,-0.008000,0.000000,0.000000,0.000000,0.002000,0.007000,0.009000,-0.109000,-0.035438,1.007606,-0.957994,-0.133223,-0.964191,-0.021086
0.0042,0.000000,0.000000,-0.523599,0.000000,0.000000,0.000000,0.000000,0.012000,-0.530000,0.003000,-0.008000,0.000000,0.000000,0.002000,0.000000,-0.028000,-0.030000,-0.011000,-0.028350,1.004062,-0.947362,-0.113096,-0.970900,-0.052714
0.0063,0.000000,0.000000,-0.523599,0.000000,0.000000,0.000000,0.000000,0.012000,-0.530000,0.003000,-0.008000,0.000000,0.000000,0.002000,0.000000,-0.028000,-0.030000,-0.011000,-0.028350,1.004062,-0.947362,-0.113096,-0.970900,-0.052714
0.0084,0.000017,0.000017,-0.523581,0.000017,0.000017,0.000017,0.000000,0.012000,-0.530000,0.003000,-0.008000,0.000000,0.000000,0.002000,0.000000,-0.028000,-0.030000,-0.011000,-0.028350,1.004062,-0.947362,-0.113096,-0.970900,-0.052714
0.0104,0.000052,0.000052,-0.523546,0.000052,0.000052,0.000052,0.000000,0.012000,-0.530000,0.003000,-0.008000,0.000000,0.000000,0.002000,0.000000,-0.028000,-0.030000,0.013000,-0.028350,1.004062,-0.947362,-0.113096,-0.970900,-0.049839
0.0125,0.000070,0.000070,-0.523529,0.000070,0.000070,0.000070,0.000000,0.012000,-0.530000,0.003000,-0.008000,0.000000,0.000000,0.002000,0.000000,-0.028000,-0.030000,0.013000,-0.028350,1.004062,-0.947362,-0.113096,-0.970900,-0.049839
0.0146,0.000122,0.000122,-0.523477,0.000122,0.000122,0.000122,0.000000,0.012000,-0.530000,0.003000,-0.008000,0.000000,-0.005000,0.000000,0.000000,-0.023000,0.028000,0.013000,-0.024806,1.017056,-0.965081,-0.123639,-0.973775,-0.049839
0.0167,0.000175,0.000175,-0.523424,0.000175,0.000175,0.000175,0.000000,0.012000,-0.530000,0.003000,-0.008000,0.000000,-0.005000,0.000000,0.000000,-0.023000,0.028000,0.013000,-0.024806,1.017056,-0.965081,-0.123639,-0.973775,-0.049839
0.0188,0.000227,0.000227,-0.523372,0.000227,0.000227,0.000227,0.000000,0.012000,-0.530000,0.003000,-0.008000,0.000000,0.001000,0.000000,-0.004000,0.015000,-0.003000,-0.057000,-0.024806,1.037137,-0.935550,-0.132265,-0.996778,-0.044088
