time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_vel_rad_s,joint2_vel_rad_s,joint3_vel_rad_s,joint4_vel_rad_s,joint5_vel_rad_s,joint6_vel_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm
0.0000,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,-0.011000,0.001000,-0.001000,0.005000,-0.011000,0.009000,0.098044,0.771356,-1.447031,-0.126514,-1.170255,0.005751
0.0051,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,-0.003000,0.002000,0.006000,0.009000,-0.005000,-0.003000,0.116944,0.783169,-1.454119,-0.136098,-1.176964,0.066132
0.0102,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,-0.003000,-0.002000,-0.005000,0.009000,0.001000,0.059000,0.116944,0.779625,-1.457662,-0.136098,-1.191341,0.000000
0.0153,0.000000,0.006000,-0.007000,-0.001000,-0.008000,0.000000,0.024000,-0.002000,-0.005000,0.000000,0.001000,0.005000,0.125213,0.779625,-1.457662,-0.119805,-1.191341,0.023003
0.0204,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.083000,-0.004000,-0.001000,-0.013000,0.019000,0.005000,0.137025,0.765450,-1.437581,-0.121722,-1.135751,0.023003
0.0255,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.083000,0.000000,0.000000,-0.013000,-0.001000,-0.042000,0.137025,0.778444,-1.457662,-0.121722,-1.189424,0.023003
0.0306,0.001000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.119000,0.000000,0.000000,-0.013000,-0.001000,-0.024000,0.196087,0.778444,-1.457662,-0.121722,-1.189424,0.018210
0.0357,0.002000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.156000,0.000000,0.002000,0.024000,-0.005000,-0.024000,0.200812,0.776081,-1.469475,-0.135140,-1.164505,0.018210
0.0409,0.003000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.089000,0.003000,-0.002000,0.000000,0.021000,0.011000,0.266962,0.765450,-1.456481,-0.131306,-1.191341,-0.012460
0.0460,0.003000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.089000,-0.002000,-0.008000,0.000000,-0.001000,-0.013000,0.266962,0.772537,-1.458844,-0.131306,-1.169297,0.022044
0.0511,0.004000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.105000,-0.002000,-0.008000,-0.001000,-0.001000,-0.009000,0.265781,0.772537,-1.458844,-0.123639,-1.169297,0.009584
0.0562,0.004000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.061000,-0.001000,-0.001000,0.028000,-0.017000,-0.009000,0.253969,0.771356,-1.456481,-0.136098,-1.171214,0.009584
0.0613,0.004000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.061000,0.003000,0.011000,0.028000,0.011000,0.003000,0.253969,0.764269,-1.468294,-0.136098,-1.181757,0.016293
0.0664,0.005000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.069000,0.003000,0.011000,-0.011000,0.011000,-0.053000,0.138206,0.764269,-1.468294,-0.137057,-1.181757,0.037379
0.0715,0.006000,0.006000,-0.007000,-0.001000,-0.008000,0.000000,0.135000,0.000000,0.000000,-0.042000,0.001000,-0.053000,0.193725,0.777262,-1.469475,-0.118847,-1.178881,0.037379
