t_s,phase,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tau_ff_1_nm,tau_ff_2_nm,tau_ff_3_nm,tau_ff_4_nm,tau_ff_5_nm,tau_ff_6_nm
0.003650,const_vel,0.010000,0.100000,0.010000,2.645126,2.645126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.010837,const_vel,0.011000,0.100000,0.010000,2.645126,2.650126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.020090,const_vel,0.012000,0.100000,0.010000,2.645126,2.655126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.032900,const_vel,0.013000,0.100000,0.010000,2.645126,2.660126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.040274,const_vel,0.014000,0.100000,0.010000,2.645126,2.665126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.050229,const_vel,0.015000,0.100000,0.010000,2.645126,2.670126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.063388,const_vel,0.016000,0.100000,0.010000,2.645126,2.675126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.070149,const_vel,0.017000,0.100000,0.010000,2.645126,2.680126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.081547,const_vel,0.018000,0.100000,0.010000,2.645126,2.685126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
0.092975,const_vel,0.019000,0.100000,0.010000,2.645126,2.690126,-0.025000,0.010000,0.037000,0.131000,0.012000,0.055000,-0.000000,2.645126,-4.836619,-0.001511,-0.913118,0.008089
