t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm
0.000069,0.006000,0.100000,0.006000,3.179649,3.179649
0.008969,0.007000,0.100000,0.006000,3.179649,3.179649
0.012388,0.008000,0.100000,0.006000,3.179649,3.179649
0.015698,0.009000,0.100000,0.006000,3.179649,3.179649
0.019101,0.010000,0.100000,0.006000,3.179649,3.179649
0.024089,0.011000,0.100000,0.006000,3.179649,3.179649
0.027839,0.012000,0.100000,0.006000,3.179649,3.179649
0.031193,0.013000,0.100000,0.006000,3.179649,3.179649
0.034579,0.014000,0.100000,0.006000,3.179649,3.179649
0.039758,0.015000,0.100000,0.006000,3.179649,3.179649
0.043242,0.016000,0.100000,0.006000,3.179649,3.179649
0.046589,0.017000,0.100000,0.006000,3.179649,3.179649
0.049906,0.018000,0.100000,0.006000,3.179649,3.179649
0.070467,0.019000,0.100000,0.004000,3.182139,3.182139
0.073062,0.020000,0.100000,0.004000,3.182139,3.182139
0.080298,0.021000,0.100000,0.004000,3.182115,3.182115
0.083806,0.022000,0.100000,0.004000,3.182115,3.182115
0.087214,0.023000,0.100000,0.004000,3.182115,3.182115
0.090508,0.024000,0.100000,0.004000,3.182115,3.182115
0.093950,0.025000,0.100000,0.004000,3.182115,3.182115
0.096853,0.026000,0.100000,0.004000,3.182115,3.182115
0.102203,0.027000,0.100000,0.003000,3.183371,3.183371
0.105817,0.028000,0.100000,0.003000,3.183371,3.183371
0.107704,0.029000,0.100000,0.003000,3.183371,3.183371
0.111170,0.030000,0.100000,0.003000,3.183371,3.183371
0.114616,0.031000,0.100000,0.003000,3.183371,3.183371
0.119661,0.032000,0.100000,0.003000,3.183371,3.183371
0.123163,0.033000,0.100000,0.003000,3.183371,3.183371
0.125509,0.034000,0.100000,0.003000,3.183371,3.183371
0.126987,0.035000,0.100000,0.003000,3.183371,3.183371
0.130954,0.036000,0.100000,0.003000,3.183371,3.183371
0.134263,0.037000,0.100000,0.003000,3.183371,3.183371
0.137876,0.038000,0.100000,0.003000,3.183371,3.183371
0.141578,0.039000,0.100000,0.003000,3.183371,3.183371
0.145695,0.040000,0.100000,0.003000,3.183371,3.183371
0.149038,0.041000,0.100000,0.003000,3.183371,3.183371
0.152889,0.042000,0.100000,0.003000,3.183371,3.183371
0.156276,0.043000,0.100000,0.003000,3.183371,3.183371
0.159598,0.044000,0.100000,0.003000,3.183371,3.183371
0.164699,0.045000,0.100000,0.003000,3.183371,3.183371
0.168863,0.046000,0.100000,0.003000,3.183371,3.183371
0.174308,0.047000,0.100000,0.003000,3.183371,3.183371
0.177671,0.048000,0.100000,0.003000,3.183371,3.183371
0.220916,0.049000,0.100000,0.003000,3.183351,3.183351
0.223432,0.050000,0.100000,0.003000,3.183351,3.183351
0.228701,0.051000,0.100000,0.003000,3.183351,3.183351
0.232042,0.052000,0.100000,0.003000,3.183351,3.183351
0.235331,0.053000,0.100000,0.003000,3.183351,3.183351
0.238867,0.054000,0.100000,0.003000,3.183351,3.183351
0.242830,0.055000,0.100000,0.003000,3.183351,3.183351
0.246322,0.056000,0.100000,0.003000,3.183351,3.183351
0.249672,0.057000,0.100000,0.003000,3.183351,3.183351
0.253047,0.058000,0.100000,0.003000,3.183351,3.183351
0.256787,0.059000,0.100000,0.003000,3.183351,3.183351
0.260307,0.060000,0.100000,0.003000,3.183351,3.183351
