t_s,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,qd_target_rad_s,tau_ff_target_nm,tau_pd_target_nm,tau_total_target_model_nm,tau_total_target_actual_nm
0.011913,0.124000,0.100000,0.124000,0.000000,3.008584,0.079186,3.087770,1.543885
0.015692,0.124500,0.100000,0.124000,0.000000,3.008584,0.091064,3.099648,1.549824
0.022965,0.125000,0.100000,0.124000,0.000000,3.008584,0.102942,3.111526,1.555763
0.028458,0.125500,0.100000,0.124000,0.000000,3.008584,0.114820,3.123404,1.561702
0.036861,0.126000,0.100000,0.124000,0.000000,3.008584,0.126697,3.135281,1.567641
0.041976,0.126500,0.100000,0.124000,0.000000,3.008584,0.138575,3.147159,1.573580
0.047549,0.127000,0.100000,0.124000,0.000000,3.008584,0.150453,3.159037,1.579519
0.073128,0.127500,0.100000,0.124000,-0.004000,3.008584,0.165499,3.174083,1.587041
0.078380,0.128000,0.100000,0.124000,0.000000,3.008584,0.174209,3.182793,1.591397
0.083687,0.128500,0.100000,0.124000,0.000000,3.008584,0.186087,3.194671,1.597335
0.088668,0.129000,0.100000,0.124000,0.000000,3.008584,0.197965,3.206549,1.603274
0.095590,0.129500,0.100000,0.124000,0.000000,3.008584,0.209843,3.218427,1.609213
0.108638,0.130000,0.100000,0.124000,0.000000,3.008584,0.221721,3.230305,1.615152
0.113587,0.130500,0.100000,0.124000,0.000000,3.008584,0.233598,3.242182,1.621091
0.118630,0.131000,0.100000,0.124000,0.000000,3.008584,0.245476,3.254060,1.627030
0.126841,0.131500,0.100000,0.124000,0.000000,3.008584,0.257354,3.265938,1.632969
0.129057,0.132000,0.100000,0.124000,0.000000,3.008584,0.269232,3.277816,1.638908
0.137033,0.132500,0.100000,0.124000,0.000000,3.008584,0.281110,3.289694,1.644847
0.142505,0.133000,0.100000,0.124000,0.000000,3.008584,0.292988,3.301572,1.650786
0.147717,0.133500,0.100000,0.124000,0.000000,3.008584,0.304866,3.313450,1.656725
0.153246,0.134000,0.100000,0.124000,0.000000,3.008584,0.316744,3.325328,1.662664
0.158066,0.134500,0.100000,0.124000,0.000000,3.008584,0.328622,3.337206,1.668603
0.163669,0.135000,0.100000,0.124000,0.000000,3.008584,0.340499,3.349083,1.674542
0.168929,0.135500,0.100000,0.124000,0.000000,3.008584,0.352377,3.360961,1.680481
