time_s,target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm
0.0000,0.0000,0.000000,0.879000,-0.530000,0.002000,0.515000,0.000000,0.000000,0.001000,0.000000,0.000000,-0.015000,-0.003000,-0.174825,-0.124031,-1.077300,0.041213,-0.771544,0.000000
0.0021,0.0000,0.000000,0.879000,-0.530000,0.002000,0.515000,0.000000,0.000000,0.001000,0.000000,0.000000,-0.015000,-0.003000,-0.174825,-0.124031,-1.077300,0.041213,-0.771544,0.000000
0.0043,0.0030,0.000000,0.879000,-0.530000,0.002000,0.515000,0.000000,0.000000,-0.001000,0.000000,0.007000,-0.015000,-0.003000,-0.171281,-0.131119,-1.077300,0.046964,-0.771544,0.000000
0.0063,0.0070,0.000000,0.879000,-0.530000,0.002000,0.515000,0.000000,0.000000,-0.001000,0.000000,0.007000,-0.001000,0.003000,-0.171281,-0.131119,-1.077300,0.046964,-0.786879,-0.016293
0.0084,0.0130,0.000000,0.879000,-0.530000,0.002000,0.515000,0.000000,0.000000,-0.001000,0.000000,0.007000,-0.001000,0.003000,-0.171281,-0.131119,-1.077300,0.046964,-0.786879,-0.016293
0.0105,0.0210,0.000000,0.879000,-0.530000,0.002000,0.515000,0.000000,0.000000,0.002000,0.001000,-0.005000,-0.036000,0.003000,-0.167737,-0.139387,-1.078481,0.054631,-0.777295,-0.016293
0.0125,0.0300,0.000000,0.879000,-0.530000,0.002000,0.515000,0.000000,0.000000,0.002000,0.001000,-0.005000,-0.036000,0.003000,-0.167737,-0.139387,-1.078481,0.054631,-0.777295,-0.016293
0.0146,0.0420,0.000000,0.879000,-0.530000,0.002000,0.515000,0.000000,0.003000,0.002000,0.002000,-0.005000,-0.036000,0.003000,-0.113400,-0.139387,-1.065487,0.054631,-0.777295,-0.016293
0.0167,0.0540,0.000000,0.879000,-0.530000,0.002000,0.515000,0.000000,0.003000,0.002000,0.002000,-0.005000,-0.036000,0.000000,-0.113400,-0.139387,-1.065487,0.054631,-0.777295,-0.015335
0.0187,0.0690,0.000000,0.879000,-0.530000,0.002000,0.515000,0.000000,0.003000,0.002000,0.002000,-0.005000,-0.036000,0.000000,-0.113400,-0.139387,-1.065487,0.054631,-0.777295,-0.015335
