time_s,joint1_target_angle_rad,joint2_target_angle_rad,joint3_target_angle_rad,joint4_target_angle_rad,joint5_target_angle_rad,joint6_target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm,mode,excited_joint,freq_hz,amp_deg
0.0000,0.000000,0.523599,-0.523599,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,-0.002000,0.000000,0.000000,0.063000,-0.030000,0.113000,-0.007087,0.269325,-1.150537,-0.070925,-1.199967,-0.076675,single_joint_sine,1,0.3,30.0
0.0000,0.000000,0.523599,-0.523599,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.000000,0.002000,0.000000,0.063000,-0.011000,0.023000,-0.004725,0.257512,-1.150537,-0.070925,-1.202842,-0.023961,single_joint_sine,1,0.3,30.0
0.0034,0.003351,0.523599,-0.523599,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.000000,-0.003000,0.003000,-0.011000,-0.028000,-0.078000,-0.009450,0.276412,-1.146994,-0.037379,-1.202842,-0.006709,single_joint_sine,1,0.3,30.0
0.0068,0.006720,0.523599,-0.523599,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.000000,-0.003000,0.004000,-0.001000,-0.028000,-0.011000,-0.009450,0.276412,-1.149356,-0.048880,-1.202842,0.005751,single_joint_sine,1,0.3,30.0
0.0114,0.011240,0.523599,-0.523599,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.000000,-0.003000,0.004000,-0.001000,-0.028000,-0.011000,-0.009450,0.276412,-1.149356,-0.048880,-1.202842,0.005751,single_joint_sine,1,0.3,30.0
0.0148,0.014626,0.523599,-0.523599,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.009000,0.002000,-0.003000,0.042000,0.007000,-0.011000,0.063787,0.257512,-1.150537,-0.065174,-1.214343,0.005751,single_joint_sine,1,0.3,30.0
0.0182,0.017959,0.523599,-0.523599,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.066000,0.003000,-0.003000,0.042000,0.007000,-0.065000,0.076781,0.264600,-1.150537,-0.065174,-1.215302,0.021086,single_joint_sine,1,0.3,30.0
0.0216,0.021310,0.523599,-0.523599,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.066000,0.003000,-0.003000,0.042000,0.007000,-0.065000,0.076781,0.264600,-1.150537,-0.065174,-1.215302,0.021086,single_joint_sine,1,0.3,30.0
0.0250,0.024696,0.523599,-0.523599,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.066000,0.001000,0.001000,-0.024000,0.007000,-0.030000,0.076781,0.269325,-1.150537,-0.045047,-1.215302,-0.064215,single_joint_sine,1,0.3,30.0
0.0284,0.028047,0.523599,-0.523599,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.050000,0.001000,-0.002000,0.007000,-0.015000,-0.030000,0.298856,0.269325,-1.142269,-0.064215,-1.206676,-0.064215,single_joint_sine,1,0.3,30.0
