time_s,joint1_target_angle_rad,joint2_target_angle_rad,joint3_target_angle_rad,joint4_target_angle_rad,joint5_target_angle_rad,joint6_target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm,mode,excited_joint,freq_hz,amp_deg
0,0,0,-0.523599,0,0,0,0,-0.049,-0.483,0,0.3,0.003,-0.002,-0.004,0,0.003,0.04,-0.005,-0.005906,0.683944,-0.641419,0.033545,-1.00732,0.001917,single_joint_sine,1,0.3,30
0,0.000001,0,-0.523599,0,0,0,0,-0.049,-0.483,0,0.3,0.003,-0.002,0.002,-0.007,0.003,0.04,-0.013,-0.005906,0.6615,-0.635512,0.033545,-1.00732,0,single_joint_sine,1,0.3,30
0.0034,0.003356,0,-0.523599,0,0,0,0,-0.049,-0.483,0,0.301,0.003,-0.002,0,0,-0.007,0.019,0.019,-0.005906,0.681581,-0.643781,0.016293,-0.991985,-0.001917,single_joint_sine,1,0.3,30
0.0068,0.006706,0,-0.523599,0,0,0,0.002,-0.049,-0.483,0,0.301,0.003,0.662,0.003,-0.003,-0.013,0.019,0.019,0.653231,0.666225,-0.636694,0.020127,-0.991985,-0.001917,single_joint_sine,1,0.3,30
0.0102,0.010111,0,-0.523599,0,0,0,0.002,-0.049,-0.483,0,0.301,0.003,0.662,0.003,-0.003,-0.013,0.009,-0.015,0.653231,0.666225,-0.636694,0.020127,-0.987193,0.1476,single_joint_sine,1,0.3,30
0.0136,0.013466,0,-0.523599,0,0,0,0.007,-0.049,-0.483,0,0.301,0.003,0.673,0.003,-0.003,-0.013,0.021,-0.015,1.226137,0.666225,-0.636694,0.020127,-0.97665,0.1476,single_joint_sine,1,0.3,30
0.017,0.016812,0,-0.523599,0,0,0,0.007,-0.049,-0.483,0,0.301,0.003,0.673,0.033,-0.005,-0.059,0.021,-0.015,1.226137,0.59535,-0.631969,0.06134,-0.97665,0.1476,single_joint_sine,1,0.3,30
0.0205,0.020212,0,-0.523599,0,0,0,0.007,-0.049,-0.483,0,0.301,0.003,0.673,0.033,-0.005,-0.059,0.021,0.009,1.226137,0.59535,-0.631969,0.06134,-0.97665,-0.006709,single_joint_sine,1,0.3,30
0.024,0.023677,0,-0.523599,0,0,0,0.011,-0.049,-0.483,-0.001,0.301,0.003,0.583,0.008,0,-0.224,0.059,-0.107,1.513181,0.648506,-0.637875,0.217566,-0.995819,0.042171,single_joint_sine,1,0.3,30
0.0274,0.027021,0,-0.523599,0,0,0,0.016,-0.049,-0.483,-0.003,0.301,0.003,0.769,0.008,0,-0.174,0.028,-0.107,0.952087,0.648506,-0.637875,0.162935,-0.987193,0.042171,single_joint_sine,1,0.3,30
