time_s,target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm
0.0000,0.0000,0.000000,0.014000,-1.048000,0.348000,-0.868000,0.000000,0.000000,-0.003000,0.005000,-0.015000,0.001000,-0.007000,0.050794,1.482469,-0.008269,-0.248236,0.461968,0.004792
0.0023,0.0010,0.000000,0.014000,-1.048000,0.348000,-0.868000,0.000000,-0.002000,-0.003000,0.005000,-0.015000,0.001000,-0.007000,0.046069,1.482469,-0.008269,-0.248236,0.461968,0.004792
0.0044,0.0030,0.000000,0.014000,-1.048000,0.349000,-0.868000,0.000000,-0.002000,-0.003000,0.005000,0.005000,0.024000,-0.007000,0.046069,1.482469,-0.008269,-0.230984,0.459093,0.004792
0.0065,0.0080,0.000000,0.014000,-1.048000,0.349000,-0.868000,0.000000,-0.002000,0.000000,0.004000,0.005000,0.024000,-0.007000,0.046069,1.468294,-0.015356,-0.230984,0.459093,0.004792
0.0086,0.0140,0.000000,0.014000,-1.048000,0.349000,-0.868000,0.000000,-0.002000,0.000000,0.004000,0.005000,-0.005000,0.034000,0.046069,1.468294,-0.015356,-0.221400,0.469636,-0.026836
0.0107,0.0210,0.000000,0.014000,-1.048000,0.349000,-0.868000,0.000000,-0.002000,0.000000,0.004000,0.005000,-0.005000,0.034000,0.046069,1.468294,-0.015356,-0.221400,0.469636,-0.026836
0.0127,0.0300,0.000000,0.014000,-1.048000,0.349000,-0.868000,0.000000,-0.009000,-0.001000,0.000000,0.005000,-0.005000,-0.034000,0.077962,1.486012,-0.016537,-0.221400,0.469636,0.015335
0.0148,0.0410,0.000000,0.014000,-1.048000,0.349000,-0.868000,0.000000,-0.009000,-0.001000,0.000000,0.005000,-0.005000,-0.034000,0.077962,1.486012,-0.016537,-0.221400,0.469636,0.015335
0.0169,0.0540,0.000000,0.014000,-1.048000,0.349000,-0.868000,0.000000,-0.009000,-0.001000,0.000000,0.021000,-0.003000,-0.034000,0.064969,1.486012,-0.016537,-0.225233,0.458134,0.015335
0.0190,0.0680,0.000000,0.014000,-1.048000,0.349000,-0.868000,0.000000,-0.009000,-0.001000,0.000000,0.021000,-0.003000,-0.034000,0.064969,1.486012,-0.016537,-0.225233,0.458134,0.015335
0.0211,0.0840,0.000000,0.014000,-1.048000,0.349000,-0.868000,0.000000,-0.009000,-0.001000,0.000000,0.021000,-0.003000,-0.034000,0.064969,1.486012,-0.016537,-0.225233,0.458134,0.015335
0.0232,0.1010,0.000000,0.014000,-1.048000,0.349000,-0.868000,0.000000,-0.001000,0.000000,0.000000,-0.005000,0.003000,-0.001000,0.066150,1.608863,-0.011813,-0.223317,0.467719,0.001917
0.0252,0.1200,0.000000,0.014000,-1.048000,0.349000,-0.868000,0.000000,-0.001000,0.000000,0.000000,-0.005000,0.003000,-0.001000,0.066150,1.608863,-0.011813,-0.223317,0.467719,0.001917
0.0274,0.1420,0.000000,0.014000,-1.048000,0.349000,-0.868000,0.000000,-0.001000,0.036000,0.001000,-0.005000,0.003000,0.001000,0.066150,1.723444,-0.023625,-0.223317,0.467719,-0.002875
0.0295,0.1640,0.000000,0.014000,-1.048000,0.349000,-0.868000,0.000000,-0.001000,0.036000,0.001000,-0.005000,0.003000,0.001000,0.066150,1.723444,-0.023625,-0.223317,0.467719,-0.002875
0.0315,0.1880,0.000000,0.015000,-1.048000,0.349000,-0.868000,0.000000,0.008000,0.023000,0.001000,-0.005000,0.003000,0.001000,0.060244,1.911262,-0.023625,-0.223317,0.467719,-0.002875
0.0336,0.2130,0.000000,0.015000,-1.048000,0.349000,-0.868000,0.000000,0.008000,0.023000,-0.002000,0.026000,0.005000,-0.017000,0.060244,1.911262,-0.023625,-0.231942,0.458134,-0.018210
0.0359,0.2440,0.000000,0.015000,-1.048000,0.349000,-0.868000,0.000000,0.008000,0.023000,-0.002000,0.026000,0.005000,-0.017000,0.060244,1.911262,-0.023625,-0.231942,0.458134,-0.018210
