time_s,joint1_target_angle_rad,joint2_target_angle_rad,joint3_target_angle_rad,joint4_target_angle_rad,joint5_target_angle_rad,joint6_target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm,mode,excited_joint,freq_hz,amp_deg
0.0000,0.000000,0.523599,-0.523599,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.000000,-0.003000,-0.001000,-0.011000,0.005000,-0.009000,0.003544,0.281137,-1.142269,-0.044088,-1.214343,-0.027795,single_joint_sine,3,0.5,30.0
0.0022,0.000000,0.523599,-0.520021,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,-0.001000,-0.002000,-0.001000,0.038000,-0.019000,-0.009000,0.009450,0.275231,-1.135181,-0.054631,-1.200925,-0.027795,single_joint_sine,3,0.5,30.0
0.0042,0.000000,0.523599,-0.516670,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,-0.001000,-0.002000,-0.001000,0.038000,-0.019000,-0.009000,0.009450,0.275231,-1.135181,-0.054631,-1.200925,-0.027795,single_joint_sine,3,0.5,30.0
0.0063,0.000000,0.523599,-0.513266,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,-0.001000,-0.002000,-0.001000,0.038000,-0.019000,-0.009000,0.009450,0.275231,-1.135181,-0.054631,-1.200925,-0.027795,single_joint_sine,3,0.5,30.0
0.0084,0.000000,0.523599,-0.509793,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.000000,-0.003000,-0.001000,-0.019000,-0.019000,0.047000,0.001181,0.276412,-1.135181,-0.031629,-1.200925,-0.023003,single_joint_sine,3,0.5,30.0
0.0105,0.000000,0.523599,-0.506407,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.000000,-0.003000,-0.001000,-0.019000,-0.019000,0.047000,0.001181,0.276412,-1.135181,-0.031629,-1.200925,-0.023003,single_joint_sine,3,0.5,30.0
0.0126,0.000000,0.523599,-0.502882,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.000000,-0.009000,0.000000,0.021000,-0.019000,0.047000,0.001181,0.276412,-1.155262,-0.062299,-1.200925,-0.023003,single_joint_sine,3,0.5,30.0
0.0146,0.000000,0.523599,-0.499566,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.000000,-0.009000,0.000000,0.021000,-0.003000,-0.005000,0.001181,0.276412,-1.155262,-0.062299,-1.205718,0.018210,single_joint_sine,3,0.5,30.0
0.0173,0.000000,0.523599,-0.495150,0.000000,0.000000,0.000000,0.000000,0.530000,-0.531000,0.000000,-0.008000,0.000000,0.000000,-0.009000,0.000000,0.021000,-0.003000,-0.005000,0.001181,0.276412,-1.155262,-0.062299,-1.205718,0.018210,single_joint_sine,3,0.5,30.0
0.0194,0.000000,0.523599,-0.491764,0.000000,0.000000,0.000000,0.000000,0.530000,-0.530000,0.000000,-0.008000,0.000000,-0.001000,-0.009000,0.014000,0.021000,0.026000,-0.005000,0.008269,0.276412,-1.054856,-0.062299,-1.223928,0.018210,single_joint_sine,3,0.5,30.0
