time_s,target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm
0.0000,-60.0000,0.000000,0.699000,-1.402000,-1.046000,-0.532000,0.000000,-0.002000,-0.002000,0.000000,-0.001000,-0.013000,0.011000,0.060244,0.585900,-0.758362,0.292324,0.028753,0.005751
0.0021,-60.0000,0.000000,0.699000,-1.402000,-1.046000,-0.532000,0.000000,-0.002000,-0.002000,0.000000,-0.001000,-0.013000,0.011000,0.060244,0.585900,-0.758362,0.292324,0.028753,0.005751
0.0042,-59.9970,0.000000,0.699000,-1.402000,-1.046000,-0.532000,0.000000,-0.002000,-0.002000,0.000000,-0.005000,-0.007000,-0.003000,0.060244,0.585900,-0.758362,0.283698,0.019169,0.010543
0.0062,-59.9930,0.000000,0.699000,-1.402000,-1.046000,-0.532000,0.000000,-0.002000,-0.002000,0.000000,-0.005000,-0.007000,-0.003000,0.060244,0.585900,-0.758362,0.283698,0.019169,0.010543
0.0084,-59.9870,0.000000,0.699000,-1.402000,-1.046000,-0.532000,0.000000,-0.002000,-0.002000,0.000000,-0.005000,-0.007000,-0.003000,0.060244,0.585900,-0.758362,0.283698,0.019169,0.010543
0.0104,-59.9800,0.000000,0.699000,-1.402000,-1.046000,-0.532000,0.000000,0.002000,-0.002000,-0.003000,-0.001000,0.015000,-0.009000,0.054337,0.591806,-0.750094,0.290407,-0.008626,0.019169
0.0125,-59.9710,0.000000,0.699000,-1.402000,-1.046000,-0.532000,0.000000,0.002000,-0.002000,-0.003000,-0.001000,0.015000,-0.009000,0.054337,0.591806,-0.750094,0.290407,-0.008626,0.019169
0.0146,-59.9600,0.000000,0.699000,-1.402000,-1.046000,-0.532000,0.000000,0.003000,-0.002000,-0.003000,-0.001000,0.019000,-0.009000,0.055519,0.594169,-0.753637,0.290407,0.015335,0.019169
0.0167,-59.9480,0.000000,0.699000,-1.402000,-1.046000,-0.532000,0.000000,0.003000,-0.002000,-0.003000,-0.001000,0.019000,-0.003000,0.055519,0.594169,-0.753637,0.290407,0.015335,0.007668
0.0189,-59.9330,0.000000,0.699000,-1.402000,-1.046000,-0.532000,0.000000,0.003000,-0.001000,-0.003000,-0.009000,0.019000,-0.003000,0.055519,0.598894,-0.753637,0.298075,0.015335,0.007668
0.0209,-59.9180,0.000000,0.699000,-1.402000,-1.046000,-0.532000,0.000000,0.003000,-0.001000,-0.003000,-0.009000,0.019000,-0.003000,0.055519,0.598894,-0.753637,0.298075,0.015335,0.007668
0.0230,-59.9000,0.000000,0.699000,-1.402000,-1.046000,-0.532000,0.000000,0.003000,-0.001000,-0.003000,-0.009000,0.019000,-0.003000,0.055519,0.598894,-0.753637,0.298075,0.015335,0.007668
0.0254,-59.8790,0.000000,0.699000,-1.402000,-1.045000,-0.532000,0.000000,-0.008000,-0.001000,-0.002000,0.044000,-0.007000,0.003000,0.080325,0.598894,-0.756000,0.320119,0.033545,0.014377
0.0274,-59.8580,0.000000,0.699000,-1.402000,-1.045000,-0.532000,0.000000,-0.008000,-0.001000,-0.002000,0.044000,-0.007000,0.003000,0.080325,0.598894,-0.756000,0.320119,0.033545,0.014377
0.0296,-59.8350,0.000000,0.699000,-1.402000,-1.045000,-0.532000,0.000000,-0.002000,-0.001000,-0.005000,0.044000,-0.024000,-0.003000,0.069694,0.581175,-0.750094,0.320119,0.023961,0.024919
0.0317,-59.8110,0.000000,0.699000,-1.402000,-1.045000,-0.532000,0.000000,-0.002000,-0.001000,-0.005000,0.044000,-0.024000,-0.003000,0.069694,0.581175,-0.750094,0.320119,0.023961,0.024919
0.0339,-59.7830,0.000000,0.699000,-1.402000,-1.045000,-0.532000,0.000000,0.002000,0.000000,-0.001000,0.057000,-0.024000,-0.001000,0.046069,0.590625,-0.761906,0.351747,0.023961,0.007668
0.0359,-59.7560,0.000000,0.699000,-1.402000,-1.045000,-0.532000,0.000000,0.002000,0.000000,-0.001000,0.057000,-0.024000,-0.001000,0.046069,0.590625,-0.761906,0.351747,0.023961,0.007668
0.0380,-59.7270,0.000000,0.699000,-1.402000,-1.045000,-0.532000,0.000000,0.002000,0.000000,-0.001000,0.057000,-0.024000,-0.001000,0.046069,0.590625,-0.761906,0.351747,0.023961,0.007668
0.0401,-59.6960,0.000000,0.699000,-1.402000,-1.045000,-0.532000,0.000000,0.002000,0.000000,-0.001000,0.061000,-0.007000,-0.001000,0.046069,0.590625,-0.761906,0.380501,0.012460,0.007668
0.0421,-59.6640,0.000000,0.699000,-1.402000,-1.045000,-0.532000,0.000000,0.002000,0.000000,-0.001000,0.061000,-0.007000,-0.001000,0.046069,0.590625,-0.761906,0.380501,0.012460,0.007668
0.0442,-59.6310,0.000000,0.699000,-1.402000,-1.045000,-0.532000,0.000000,0.007000,-0.013000,0.002000,0.061000,-0.007000,-0.001000,0.046069,0.613069,-0.761906,0.380501,0.012460,0.007668
0.0463,-59.5950,0.000000,0.699000,-1.402000,-1.044000,-0.532000,0.000000,0.007000,-0.013000,0.002000,0.120000,0.000000,-0.011000,0.046069,0.613069,-0.761906,0.400628,0.018210,0.020127
0.0484,-59.5580,0.000000,0.699000,-1.402000,-1.044000,-0.532000,0.000000,0.007000,-0.013000,0.002000,0.120000,0.000000,-0.011000,0.046069,0.613069,-0.761906,0.400628,0.018210,0.020127
0.0507,-59.5140,0.000000,0.699000,-1.402000,-1.044000,-0.532000,0.000000,0.005000,-0.010000,-0.002000,0.120000,-0.001000,-0.011000,0.040162,0.600075,-0.748912,0.400628,0.020127,0.007668
0.0528,-59.4740,0.000000,0.699000,-1.402000,-1.044000,-0.532000,0.000000,0.005000,-0.010000,-0.002000,0.120000,-0.001000,-0.011000,0.040162,0.600075,-0.748912,0.400628,0.020127,0.007668
0.0548,-59.4320,0.000000,0.699000,-1.402000,-1.044000,-0.532000,0.000000,0.005000,-0.003000,-0.002000,0.120000,-0.001000,-0.011000,0.040162,0.607162,-0.748912,0.400628,0.020127,0.007668
0.0569,-59.3880,0.000000,0.699000,-1.402000,-1.043000,-0.532000,0.000000,0.005000,-0.003000,-0.002000,0.189000,-0.001000,-0.011000,0.040162,0.607162,-0.748912,0.416921,0.020127,0.007668
0.0592,-59.3380,0.000000,0.699000,-1.402000,-1.043000,-0.532000,0.000000,-0.002000,-0.003000,-0.002000,0.189000,-0.001000,-0.011000,0.048431,0.607162,-0.748912,0.416921,0.020127,0.007668
0.0612,-59.2910,0.000000,0.699000,-1.402000,-1.041000,-0.532000,0.000000,-0.002000,-0.003000,0.002000,0.174000,-0.003000,-0.009000,0.048431,0.607162,-0.756000,0.370916,0.023003,0.014377
