time_s,joint1_target_angle_rad,joint2_target_angle_rad,joint3_target_angle_rad,joint4_target_angle_rad,joint5_target_angle_rad,joint6_target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm,mode,j1_freq_hz,j2_freq_hz,j3_freq_hz,j4_freq_hz,j5_freq_hz,j6_freq_hz,amp_deg
0.0000,0.000001,0.523600,-0.523597,0.000002,-0.523596,0.000003,0.000000,0.530000,-0.531000,0.000000,-0.531000,0.000000,0.003000,-0.011000,0.000000,-0.001000,0.015000,-0.028000,-0.011813,0.311850,-1.143450,-0.139932,-0.898058,-0.004792,multi_joint_sine,0.200000,0.250000,0.330000,0.400000,0.500000,0.600000,20.0
0.0051,0.002231,0.526387,-0.519918,0.004461,-0.518022,0.006691,0.000000,0.530000,-0.531000,0.000000,-0.531000,0.000000,0.001000,0.004000,0.000000,0.001000,0.024000,-0.028000,0.004725,0.294131,-1.145813,-0.140891,-0.910518,-0.004792,multi_joint_sine,0.200000,0.250000,0.330000,0.400000,0.500000,0.600000,20.0
0.0102,0.004467,0.529183,-0.516228,0.008934,-0.512432,0.013399,0.000000,0.530000,-0.531000,0.000000,-0.531000,0.000000,-0.002000,0.004000,0.000000,-0.001000,0.024000,-0.028000,0.003544,0.294131,-1.135181,-0.135140,-0.910518,-0.004792,multi_joint_sine,0.200000,0.250000,0.330000,0.400000,0.500000,0.600000,20.0
0.0153,0.006718,0.531996,-0.512516,0.013433,-0.506810,0.020143,0.000000,0.530000,-0.531000,0.000000,-0.531000,0.000000,-0.002000,0.008000,0.000000,-0.001000,-0.013000,0.015000,0.003544,0.290587,-1.135181,-0.135140,-0.877931,-0.050797,multi_joint_sine,0.200000,0.250000,0.330000,0.400000,0.500000,0.600000,20.0
0.0204,0.008963,0.534802,-0.508812,0.017920,-0.501204,0.026866,0.000000,0.530000,-0.531000,0.000000,-0.531000,0.000000,-0.007000,0.013000,0.000000,0.000000,-0.005000,0.009000,0.072056,0.366187,-1.098563,-0.119805,-0.876014,-0.010543,multi_joint_sine,0.200000,0.250000,0.330000,0.400000,0.500000,0.600000,20.0
0.0256,0.011208,0.537608,-0.505111,0.022405,-0.495603,0.033578,0.000000,0.531000,-0.530000,0.000000,-0.531000,0.000000,0.036000,0.037000,0.028000,0.038000,-0.005000,0.009000,0.106312,0.455962,-0.974531,-0.098719,-0.876014,-0.010543,multi_joint_sine,0.200000,0.250000,0.330000,0.400000,0.500000,0.600000,20.0
0.0307,0.013447,0.540406,-0.501420,0.026875,-0.490024,0.040262,0.000000,0.531000,-0.530000,0.000000,-0.531000,0.000000,0.106000,0.037000,0.033000,0.038000,-0.003000,0.034000,0.063787,0.455962,-0.804431,-0.098719,-0.813716,0.047922,multi_joint_sine,0.200000,0.250000,0.330000,0.400000,0.500000,0.600000,20.0
0.0358,0.015689,0.543206,-0.497727,0.031346,-0.484446,0.046940,0.000000,0.531000,-0.530000,0.000000,-0.531000,0.000000,0.106000,0.026000,0.033000,0.038000,0.003000,0.051000,0.063787,0.602437,-0.804431,-0.040254,-0.696786,0.066132,multi_joint_sine,0.200000,0.250000,0.330000,0.400000,0.500000,0.600000,20.0
0.0408,0.017906,0.545976,-0.494076,0.035765,-0.478937,0.053530,0.001000,0.532000,-0.530000,0.001000,-0.531000,0.000000,0.112000,0.087000,0.104000,0.078000,0.021000,0.051000,0.062606,0.626062,-0.717019,-0.025878,-0.595191,0.066132,multi_joint_sine,0.200000,0.250000,0.330000,0.400000,0.500000,0.600000,20.0
0.0459,0.020108,0.548726,-0.490452,0.040149,-0.473475,0.060057,0.002000,0.532000,-0.529000,0.001000,-0.531000,0.002000,0.145000,0.087000,0.152000,0.113000,0.021000,0.414000,0.179550,0.626062,-0.785531,0.041213,-0.595191,0.021086,multi_joint_sine,0.200000,0.250000,0.330000,0.400000,0.500000,0.600000,20.0
