time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_vel_rad_s,joint2_vel_rad_s,joint3_vel_rad_s,joint4_vel_rad_s,joint5_vel_rad_s,joint6_vel_rad_s,joint1_acc_rad_s2,joint2_acc_rad_s2,joint3_acc_rad_s2,joint4_acc_rad_s2,joint5_acc_rad_s2,joint6_acc_rad_s2
0,0,0.53,-0.531,0,-0.531,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0051,0,0.53,-0.531,0,-0.531,0,0,0,0,0,0,0,0,0,-6.97E-13,0,-6.97E-13,0
0.0102,0,0.53,-0.531,0,-0.531,0,0,0,-7.11E-15,0,-7.11E-15,0,0,0,6.97E-13,0,6.97E-13,0
0.0153,0,0.53,-0.531,0,-0.531,0,0,0,7.11E-15,0,7.11E-15,0,0,9.335324869,9.335324869,0,1.39E-12,0
0.0204,0,0.53,-0.531,0,-0.531,0,0,0.095220314,0.095220314,0,7.11E-15,0,0,9.425959091,9.425959091,0,0,0
0.0256,0,0.531,-0.53,0,-0.531,0,0,0.095220314,0.095220314,0,7.11E-15,0,0,-9.425959091,-9.425959091,0,-7.03E-13,0
0.0307,0,0.531,-0.53,0,-0.531,0,0,0,7.11E-15,0,0,0,9.900990099,0.56566523,-9.335324869,9.900990099,-6.97E-13,0
0.0358,0,0.531,-0.53,0,-0.531,0,0.100990099,0.100990099,0,0.100990099,0,0,19.60592099,9.802960494,9.802960494,9.802960494,0,19.60592099
0.0408,0.001,0.532,-0.53,0.001,-0.531,0,0.198058629,0.100990099,0.09706853,0.100990099,0,0.194137061,0.366123641,-1.071928661,10.16908414,-9.802960494,0,20.33816827
0.0459,0.002,0.532,-0.529,0.001,-0.531,0.002,0.100840336,0.08994709,0.100840336,0,0,0.201680672,-9.533160814,-1.195949876,0.650714716,8.497443151,0,-8.039229909
0.0513,0.002,0.533,-0.529,0.001,-0.531,0.002,0.103846154,0.089031339,0.103846154,0.207692308,0,0.103846154,20.13140875,10.83329442,20.13140875,27.97813718,0,-9.006928489
0.0563,0.003,0.533,-0.528,0.003,-0.531,0.003,0.29512716,0.194137061,0.29512716,0.299048728,0,0.100990099,19.21949581,10.80308324,19.21949581,-10.28560402,9.516522587,8.941651418
0.0614,0.005,0.535,-0.526,0.004,-0.531,0.003,0.294117647,0.196078431,0.294117647,0.098039216,0.098039216,0.196078431,-19.2290301,-0.362395434,-19.2290301,-10.64785305,19.04033004,28.17966998
0.0665,0.006,0.535,-0.525,0.004,-0.53,0.005,0.098991053,0.190440627,0.098991053,0.190440627,0.194211366,0.388422733,-9.889827897,8.867866934,-9.889827897,27.9988312,18.94614153,0.188446702
0.0717,0.006,0.537,-0.525,0.006,-0.529,0.007,0.197982105,0.28943168,0.197982105,0.388422733,0.293202419,0.190440627,28.64752273,-9.520182442,28.64752273,19.22156364,-0.188446702,-18.29382603
0.0768,0.008,0.538,-0.523,0.008,-0.527,0.007,0.392156863,0.098039216,0.392156863,0.392156863,0.196078431,0.196078431,-0.186634715,-9.152279284,-0.186634715,-18.85728445,0.089728228,19.77610151
0.0819,0.01,0.538,-0.521,0.01,-0.527,0.009,0.196078431,0.196078431,0.196078431,0.196078431,0.294117647,0.392156863,-9.611687812,38.44675125,-9.611687812,-9.611687812,28.83506344,28.83506344
0.087,0.01,0.54,-0.521,0.01,-0.524,0.011,0.294117647,0.490196078,0.294117647,0.294117647,0.490196078,0.490196078,37.89761449,37.89761449,37.89761449,28.56228962,-9.425053098,-9.33173574
0.0921,0.013,0.543,-0.518,0.013,-0.522,0.014,0.582634099,0.582634099,0.582634099,0.487413786,0.197982105,0.296973158,28.56054733,-19.12734029,28.56054733,-9.143289038,-19.50060972,-19.12734029
0.0973,0.016,0.546,-0.515,0.015,-0.522,0.014,0.582634099,0.285660941,0.582634099,0.190440627,0.296973158,0.296973158,-28.56054733,-27.44073904,-28.56054733,-18.01477995,47.96330972,28.83234546
0.1024,0.019,0.546,-0.512,0.015,-0.519,0.017,0.294117647,0.294117647,0.294117647,0.294117647,0.68627451,0.588235294,-28.28592668,29.66415227,-28.28592668,48.61116495,57.3901748,-0.279952072
0.1075,0.019,0.549,-0.512,0.018,-0.515,0.02,0.294117647,0.588235294,0.294117647,0.68627451,0.882352941,0.294117647,37.62125155,0.279952072,28.28592668,37.99093185,-18.75678884,-29.66415227
0.1126,0.022,0.552,-0.509,0.022,-0.51,0.02,0.677854413,0.296973158,0.582634099,0.681625152,0.494955264,0.285660941,9.708629145,-19.40638636,0.282670053,-38.1640812,-47.77486301,46.29265722
0.1178,0.026,0.552,-0.506,0.025,-0.51,0.023,0.380881255,0.395964211,0.285660941,0.285660941,0.395964211,0.780616205,-36.86669813,47.86908637,-17.73573387,-17.45668779,29.01716818,47.49581694
0.1229,0.026,0.556,-0.506,0.025,-0.506,0.028,0.294117647,0.784313725,0.392156863,0.490196078,0.784313725,0.784313725,20.91123858,38.85003006,49.66407613,59.18059872,-0.753930333,-47.9814327
0.128,0.029,0.56,-0.502,0.03,-0.502,0.031,0.594175888,0.792234518,0.792234518,0.889303048,0.388274122,0.291205591,38.09215098,-38.05086391,47.61614037,-9.881957054,-30.05391037,-39.19343225
0.133,0.032,0.564,-0.498,0.034,-0.502,0.031,0.682956259,0.407843137,0.87918552,0.407843137,0.471342383,0.377073906,-19.42403424,-30.98091917,-29.13251767,-50.2098384,55.57702494,55.77279239
0.1382,0.036,0.564,-0.493,0.034,-0.497,0.035,0.380881255,0.494955264,0.476101568,0.395964211,0.971056832,0.875836518,-37.35249756,46.64374792,-46.69155512,27.60700701,48.5070802,9.317379224
0.1433,0.036,0.569,-0.493,0.038,-0.492,0.04,0.294117647,0.882352941,0.392156863,0.68627451,0.980392157,0.490196078,20.3288274,-10.0782746,39.82856596,38.07348182,-47.14321113,-47.41957408
0.1484,0.039,0.573,-0.489,0.041,-0.487,0.04,0.588235294,0.392156863,0.882352941,0.784313725,0.490196078,0.392156863,0.279952072,-49.16389083,10.0782746,-18.75678884,-49.44025378,37.43820596
0.1535,0.042,0.573,-0.484,0.046,-0.487,0.044,0.296973158,0.380881255,0.494955264,0.494955264,0.476101568,0.872065779,-28.83234546,46.01361114,-38.34890392,-19.21793966,55.16052416,56.93264795
0.1587,0.042,0.577,-0.484,0.046,-0.482,0.049,0.296973158,0.875836518,0.494955264,0.593946316,1.070047885,0.971056832,57.94736097,47.77486301,96.57893494,57.38564483,8.860618984,-38.17495312
