time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_vel_rad_s,joint2_vel_rad_s,joint3_vel_rad_s,joint4_vel_rad_s,joint5_vel_rad_s,joint6_vel_rad_s,joint1_acc_rad_s2,joint2_acc_rad_s2,joint3_acc_rad_s2,joint4_acc_rad_s2,joint5_acc_rad_s2,joint6_acc_rad_s2
0,0.000834548,0.530410514,-0.530655813,0.000556948,-0.529722184,0.000702109,-0.135687747,-0.051724687,-0.054534981,-0.096633255,-0.134445172,-0.115683768,7.0109868,3.439357409,3.588267017,4.737549598,3.396105299,5.666254998
0.0051,0.000232987,0.53019191,-0.530886816,0.000125884,-0.530362709,0.000185635,-0.100362024,-0.03391184,-0.035964299,-0.072380995,-0.116549296,-0.086889672,6.842237824,3.546072626,3.69435332,4.773140395,3.621885312,5.625547131
0.0102,-0.000190608,0.530065539,-0.531021729,-0.00018103,-0.530909029,-0.000184519,-0.065896921,-0.015554746,-0.016852577,-0.047947223,-0.097501942,-0.058303187,6.673488848,3.652787843,3.800439623,4.808731192,3.847665324,5.584839263
0.0153,-0.000440625,0.530034176,-0.531057793,-0.000362869,-0.531355271,-0.000409411,-0.032292438,0.003346595,0.002800185,-0.023331937,-0.07730311,-0.029924312,6.504739872,3.75950306,3.906525927,4.844321989,4.073445336,5.544131396
0.0204,-0.000521454,0.530100599,-0.530992248,-0.000418707,-0.531695563,-0.0004901,0.000451426,0.022792185,0.022993988,0.001464861,-0.055952799,-0.001753047,6.335990896,3.866218277,4.01261223,4.879912786,4.299225348,5.503423528
0.0256,-0.000437483,0.530267582,-0.530822335,-0.000347619,-0.531924032,-0.000427645,0.032334669,0.042782022,0.04372883,0.026443173,-0.033451011,0.026210608,6.16724192,3.972933494,4.118698534,4.915503583,4.52500536,5.462715661
0.0307,-0.000193103,0.530537901,-0.530545294,-0.000148678,-0.532034806,-0.000223104,0.063357293,0.063316107,0.065004713,0.051602998,-0.009797745,0.053966653,5.998492944,4.079648712,4.224784837,4.95109438,4.750785372,5.422007793
0.0358,0.000207298,0.530914331,-0.530158367,0.00017904,-0.532022012,0.000122462,0.093519297,0.084394439,0.086821635,0.076944336,0.015007,0.081515088,5.829743969,4.186363929,4.330871141,4.986685177,4.976565384,5.381299926
0.0408,0.000759331,0.531399649,-0.529658793,0.000636463,-0.531879777,0.000607997,0.122820682,0.106017019,0.109179598,0.102467187,0.040963222,0.108855912,5.660994993,4.293079146,4.436957444,5.022275974,5.202345396,5.340592058
0.0459,0.001458606,0.53199663,-0.529043815,0.001224514,-0.53160223,0.00123244,0.151261446,0.128183846,0.132078601,0.128171551,0.068070923,0.135989127,5.492246017,4.399794363,4.543043748,5.057866771,5.428125408,5.299884191
0.0513,0.002300734,0.53270805,-0.528310672,0.001944121,-0.531183496,0.001994733,0.178841591,0.150894921,0.155518644,0.154057428,0.096330101,0.162914731,5.323497041,4.50650958,4.649130051,5.093457568,5.65390542,5.259176323
0.0563,0.003281327,0.533536684,-0.527456605,0.002796209,-0.530617705,0.002893817,0.205561116,0.174150244,0.179499728,0.180124818,0.125740758,0.189632725,5.154748065,4.613224797,4.755216355,5.129048365,5.879685432,5.218468456
0.0614,0.004395995,0.534485308,-0.526478855,0.003781703,-0.529898983,0.003928634,0.231420021,0.197949814,0.204021851,0.206373721,0.156302893,0.216143109,4.985999089,4.719940015,4.861302658,5.164639162,6.105465444,5.177760589
0.0665,0.005640348,0.535556697,-0.525374662,0.004901529,-0.529021458,0.005098124,0.256418307,0.222293632,0.229085015,0.232804137,0.188016506,0.242445883,4.817250113,4.826655232,4.967388962,5.200229959,6.331245457,5.137052721
0.0717,0.007009998,0.536753628,-0.524141268,0.006156613,-0.527979257,0.006401229,0.280555973,0.247181697,0.254689219,0.259416067,0.220881596,0.268541047,4.648501138,4.933370449,5.073475265,5.235820756,6.557025469,5.096344854
0.0768,0.008500556,0.538078876,-0.522775913,0.007547881,-0.526766508,0.007836889,0.303833018,0.272614011,0.280834463,0.286209509,0.254898165,0.294428601,4.479752162,5.040085666,5.179561569,5.271411553,6.782805481,5.055636986
0.0819,0.010192133,0.539593993,-0.521161189,0.009171301,-0.525342097,0.009321974,0.337136997,0.304935801,0.316599267,0.322672738,0.301323667,0.320461583,4.156090311,5.041057624,5.084795711,5.137281417,6.932972916,5.147486971
0.087,0.011963798,0.541175346,-0.519489332,0.010814339,-0.523799474,0.010909698,0.364168496,0.332507466,0.345971677,0.349445186,0.342915721,0.343462691,3.848465759,5.133393587,5.090141478,5.170327972,7.155551186,5.295710491
0.0921,0.013693902,0.542889777,-0.517939832,0.012559511,-0.521853878,0.012829103,0.37871955,0.360107147,0.359723224,0.372731927,0.396005401,0.37704115,3.766821328,5.22184172,5.523148548,5.260234042,6.990804388,5.125131948
0.0973,0.015671251,0.544907574,-0.51600809,0.014632824,-0.519766205,0.014820305,0.399846699,0.397853506,0.390331113,0.406177131,0.442307781,0.404135,3.447533287,5.018702601,5.58875568,5.0347399,6.844524783,5.040571645
0.1024,0.017844271,0.547048943,-0.5137568,0.016771362,-0.517559814,0.016860957,0.423723807,0.433912522,0.431732931,0.432806191,0.480639282,0.424766159,2.940171467,4.789806607,5.347224239,4.901581721,6.770170033,5.094515287
0.1075,0.019915057,0.549316918,-0.511643543,0.018744464,-0.515207402,0.018979371,0.433251907,0.462206278,0.449020119,0.440977584,0.513254483,0.442377227,2.717107218,4.532237867,5.548419444,5.268495681,6.741497287,5.259748063
0.1126,0.022166346,0.551670442,-0.509158156,0.021102336,-0.512687734,0.021238851,0.448588205,0.486645056,0.481080162,0.46699103,0.541988657,0.462334673,2.320548554,4.3164633,5.391934284,5.265579808,6.738095435,5.44441999
0.1178,0.024417332,0.554105471,-0.506578724,0.02348377,-0.510026696,0.023558803,0.460030138,0.508813439,0.5103095,0.488312036,0.56600196,0.481251518,2.017297811,4.146370736,5.3000843,5.457055438,6.815852036,5.78800697
0.1229,0.026711093,0.556670644,-0.503904743,0.026015371,-0.506913136,0.026252402,0.466009353,0.526438552,0.53886357,0.50798137,0.604469609,0.51968318,1.734944155,3.944203574,5.272383511,5.6592226,6.458657651,5.772455649
0.128,0.029047629,0.559478006,-0.501084033,0.028910507,-0.503720396,0.029102842,0.467300672,0.552908186,0.564970471,0.54511005,0.63379138,0.549810776,1.473487585,3.509252588,5.227673465,5.511971037,6.242397105,5.730175498
0.133,0.031491354,0.562346243,-0.497960967,0.031836889,-0.500431793,0.031993023,0.475740592,0.571270894,0.604827192,0.579995937,0.657753607,0.577192958,1.109003518,3.108806094,4.892348125,5.520718654,6.151033099,5.866735528
0.1382,0.033911113,0.565261199,-0.494771059,0.034910001,-0.497037719,0.035281727,0.478992057,0.589055505,0.638195684,0.608698669,0.679915502,0.618877105,0.829565734,2.756471497,4.616798171,5.512457016,6.175332037,5.589241659
0.1433,0.036359591,0.568262413,-0.491454545,0.038102437,-0.493248256,0.038546466,0.475055629,0.597724321,0.662960311,0.635419846,0.720255942,0.65533579,0.553529802,2.383239814,4.31257547,5.544531613,5.819595589,5.551821295
0.1484,0.038913844,0.571412782,-0.487847204,0.041612398,-0.489360198,0.041909293,0.475144539,0.614563217,0.694834564,0.679934382,0.754743619,0.684282702,0.144821669,1.866644397,3.697812345,5.271411553,5.524120506,5.575148275
0.1535,0.041342906,0.574579634,-0.484288401,0.045205885,-0.48541713,0.045405097,0.473995904,0.620335673,0.720864218,0.715541535,0.783120915,0.707506387,-0.05054179,1.396216963,3.284730404,5.042029581,5.361803602,5.625690066
0.1587,0.043737486,0.577716352,-0.480643341,0.048903125,-0.481067853,0.049237638,0.468315371,0.62014568,0.740278899,0.743651178,0.821479996,0.750685381,-0.181756054,1.047770195,2.850751376,4.836946546,4.747040477,5.352570005
0.1638,0.046105167,0.580921832,-0.476959147,0.05296663,-0.47679816,0.053080696,0.459390104,0.630263733,0.750793948,0.779522558,0.853422796,0.782153064,-0.256110804,0.633230318,2.472173926,4.217809613,4.42580852,5.255374254
0.1689,0.048462231,0.584099403,-0.473137425,0.056960764,-0.472451512,0.056973708,0.463391459,0.63524657,0.773674994,0.809729734,0.873853805,0.805928578,-0.320259999,0.276521911,1.961410254,3.851381632,4.154632375,5.29619647
0.174,0.050783901,0.587255132,-0.469316412,0.061077561,-0.468014258,0.061335221,0.462154327,0.630093373,0.783746953,0.830652504,0.89054076,0.840324964,-0.350390682,-0.028186768,1.513337842,3.429066094,3.920390615,4.793694437
0.1791,0.053092426,0.590409748,-0.465475882,0.06518829,-0.463359591,0.065593285,0.456098011,0.615759357,0.782361184,0.840839129,0.927086775,0.868612208,-0.367885917,-0.300820849,1.10851754,3.167609524,3.477177991,4.638667215
0.1846,0.055533219,0.593577005,-0.461597634,0.069487612,-0.458736172,0.069915057,0.452339378,0.614179732,0.770537103,0.868449016,0.952459872,0.88677231,-0.605529528,-0.5856044,0.729454111,2.724882878,3.188020631,4.577433891
0.1908,0.057791182,0.596713925,-0.457630397,0.073820103,-0.454066033,0.074298412,0.451315202,0.606944796,0.77268717,0.887573301,0.966081856,0.894792248,-0.574426888,-0.841229225,0.264858421,2.312286915,2.946975169,4.643041023
0.1959,0.059970674,0.599783497,-0.453718475,0.07820447,-0.44897118,0.078991202,0.444421521,0.592183094,0.764527319,0.892803647,0.981685905,0.928862882,-0.436894901,-1.001116235,-0.084560303,1.911840421,2.14268033,4.411229157
0.201,0.062247447,0.602798463,-0.44984771,0.082862676,-0.444077763,0.083736677,0.434211156,0.592982918,0.748404755,0.902604235,0.991912623,0.956432262,-0.454876114,-1.10851754,-0.332409468,1.1551715,1.749037539,4.252800083
0.2063,0.064499949,0.605730509,-0.445970877,0.087303873,-0.439189706,0.088620386,0.437859058,0.585782195,0.750129615,0.908338225,0.989957968,0.969219068,-0.449530348,-1.136218329,-0.586090378,0.793117328,1.453562456,4.054520751
