time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_vel_rad_s,joint2_vel_rad_s,joint3_vel_rad_s,joint4_vel_rad_s,joint5_vel_rad_s,joint6_vel_rad_s,joint1_acc_rad_s2,joint2_acc_rad_s2,joint3_acc_rad_s2,joint4_acc_rad_s2,joint5_acc_rad_s2,joint6_acc_rad_s2
0,0.032741878,0.567419269,-0.488707492,0.044138621,-0.485142427,0.047533254,0.005174202,0.006260784,0.00754174,0.008341984,0.009271041,0.009493427,2.019472194,2.422469796,2.965564832,3.257182384,3.643018024,3.70916679
0.0051,0.032794662,0.56748314,-0.48863056,0.044223703,-0.485047874,0.047630068,0.015517806,0.018776894,0.022619128,0.025019872,0.027806422,0.028473722,2.017590508,2.4202896,2.963176869,3.254757314,3.640390622,3.706675438
0.0102,0.032900176,0.567610825,-0.488476767,0.044393808,-0.484858855,0.047823609,0.025847218,0.031276232,0.03767845,0.041679012,0.046321776,0.047435028,2.013827157,2.415933873,2.958400043,3.24991168,3.635124453,3.701679176
0.0153,0.033058336,0.567802204,-0.488246223,0.044648801,-0.484575498,0.048113766,0.036152683,0.043748124,0.05270725,0.058307262,0.06480336,0.066364382,2.008201464,2.409407298,2.951249253,3.24264471,3.627228141,3.694185397
0.0204,0.033268989,0.568057103,-0.48793912,0.044988501,-0.484198006,0.04850034,0.046424724,0.056181011,0.067693543,0.074892509,0.083237764,0.085248833,2.000722412,2.400721442,2.941733056,3.232968168,3.616703288,3.68419002
0.0256,0.033531936,0.568375307,-0.487555721,0.045412657,-0.483726664,0.048983059,0.056653619,0.068564047,0.082625277,0.091421868,0.101611576,0.104075488,1.991405574,2.389901632,2.929856487,3.220890606,3.603547382,3.671680154
0.0307,0.03384693,0.568756523,-0.487096318,0.045920946,-0.483161807,0.04956161,0.066830558,0.080886696,0.09749028,0.107883518,0.119911396,0.122832244,1.980271239,2.376963549,2.915647495,3.206417654,3.587768512,3.656657419
0.0358,0.03421369,0.569200432,-0.486561283,0.046512989,-0.482503838,0.050235593,0.076946147,0.093138041,0.112276914,0.124265069,0.138124078,0.141505849,1.967351788,2.361944548,2.899127862,3.189562345,3.56937595,3.639110752
0.0408,0.034631888,0.569706626,-0.485951041,0.047188357,-0.481753251,0.05100455,0.086991374,0.105307319,0.126973364,0.140554422,0.156236073,0.160083,1.952683602,2.344866209,2.880325568,3.170344587,3.548365299,3.619032152
0.0459,0.035101118,0.570274673,-0.485266101,0.047946548,-0.480910594,0.051867966,0.096957371,0.117384236,0.14156813,0.156739571,0.174233839,0.178550978,1.936287639,2.325771325,2.859257471,3.148781704,3.524742449,3.59641766
0.0513,0.03562097,0.570904063,-0.484507,0.048786993,-0.479976481,0.05282526,0.106835451,0.129358898,0.156049656,0.172808798,0.19210418,0.196897254,1.918213282,2.304692678,2.835963455,3.124888737,3.498516733,3.571263786
0.0563,0.036190979,0.571594253,-0.483674335,0.049709077,-0.47895158,0.05387576,0.116617066,0.14122079,0.170406692,0.188750084,0.209834169,0.215108212,1.898506269,2.281676528,2.810484249,3.098692859,3.4697042,3.543551938
0.0614,0.036810618,0.572344651,-0.482768791,0.050712111,-0.477836661,0.055018744,0.126293887,0.152960369,0.184628263,0.204551525,0.227410203,0.233170989,1.877205957,2.25677501,2.782846975,3.070213286,3.438305048,3.513272782
0.0665,0.037479333,0.573154597,-0.481791069,0.051795347,-0.476632544,0.056253442,0.135858325,0.164568439,0.19870329,0.220201844,0.244819008,0.251072808,1.854362914,2.230032419,2.75310391,3.039474194,3.404327622,3.480430151
0.0717,0.038196544,0.574023414,-0.480741945,0.052958002,-0.475340095,0.057578972,0.14530236,0.176035568,0.212621148,0.235689411,0.262048012,0.268799813,1.830038443,2.201513849,2.721300494,3.00651453,3.3677971,3.444998484
0.0768,0.038961613,0.574950341,-0.479622246,0.054199213,-0.473960275,0.058994416,0.154618677,0.187352616,0.226371452,0.251003075,0.279083601,0.286338994,1.804286878,2.171267655,2.687485329,2.97136334,3.328723187,3.406974258
0.0819,0.039773854,0.575934601,-0.47843287,0.055518059,-0.472494105,0.060498782,0.163800123,0.198510939,0.239944253,0.26613143,0.295913148,0.303677112,1.7771582,2.139359774,2.651700549,2.934051884,3.287119539,3.366350264
0.087,0.040632586,0.576975355,-0.47717473,0.056913566,-0.470942666,0.062091033,0.17283987,0.209502624,0.253329464,0.28106406,0.312523492,0.320801438,1.748729455,2.105849876,2.614010765,2.894614171,3.243006727,3.323133457
