time_s,joint1_target_angle_rad,joint2_target_angle_rad,joint3_target_angle_rad,joint4_target_angle_rad,joint5_target_angle_rad,joint6_target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm
0,0.000001,1.047197,-1.396263,0,0,0,0,1.054,-1.403,0,-0.008,0,0.079144,-0.252787,-0.856406,0.025878,-1.077287,-0.013418
0.0021,0.002492,1.046829,-1.395098,-0.000537,0.000598,-0.000431,0,1.054,-1.403,0,-0.008,0,0.079144,-0.252787,-0.856406,0.025878,-1.077287,0.007668
0.0048,0.005583,1.04636,-1.393654,-0.001211,0.001346,-0.000967,0,1.054,-1.403,0,-0.008,0,0.079144,-0.252787,-0.856406,0.025878,-1.077287,0.007668
0.0069,0.008049,1.045976,-1.392504,-0.001754,0.00195,-0.001396,0,1.054,-1.403,0,-0.008,0,0.042525,-0.544556,-0.194906,0.034504,-0.652698,0.019169
0.0096,0.011059,1.045497,-1.391103,-0.002425,0.002694,-0.00192,0,1.054,-1.403,0,-0.008,0,0.042525,-0.544556,-0.194906,0.034504,-0.652698,0.019169
0.0117,0.013392,1.045117,-1.390018,-0.002951,0.003276,-0.002327,0,1.054,-1.403,0,-0.008,0,0.042525,-0.544556,-0.194906,0.034504,-0.652698,0.019169
0.0138,0.015768,1.044723,-1.388916,-0.003491,0.003875,-0.002741,0,1.053,-1.399,-0.001,-0.004,0,0.437062,-0.824512,-0.015356,0.035462,-0.008626,0.019169
0.0158,0.018018,1.044342,-1.387872,-0.004008,0.004448,-0.003135,0,1.053,-1.399,-0.001,-0.004,0,0.437062,-0.824512,-0.015356,0.035462,-0.008626,0.019169
0.018,0.020372,1.043936,-1.386783,-0.004553,0.005053,-0.003546,0,1.053,-1.399,-0.001,0,0,0.437062,-0.824512,-0.015356,-0.013418,0.079551,0.019169
0.02,0.022621,1.043541,-1.385744,-0.005079,0.005637,-0.003939,0,1.053,-1.399,-0.001,0,0,0.437062,-0.824512,-0.015356,-0.013418,0.079551,-0.000958
0.0221,0.024891,1.043135,-1.384697,-0.005614,0.006233,-0.004336,0.003,1.052,-1.393,-0.001,0,0,0.856406,-0.904837,0.350831,-0.013418,0.079551,-0.000958
0.0242,0.027131,1.042728,-1.383665,-0.006147,0.006827,-0.004728,0.003,1.052,-1.393,-0.001,0,0,0.856406,-0.904837,0.350831,-0.013418,0.079551,-0.000958
0.0263,0.029321,1.042322,-1.382658,-0.006673,0.007415,-0.005111,0.003,1.052,-1.393,-0.001,0,0,0.856406,-0.904837,0.350831,-0.013418,0.079551,-0.031629
0.0285,0.031616,1.04189,-1.381604,-0.007229,0.008037,-0.005512,0.003,1.052,-1.393,-0.001,0,0,0.856406,-0.904837,0.350831,-0.013418,0.079551,-0.031629
0.0307,0.033934,1.041446,-1.380541,-0.007795,0.008673,-0.005916,0.009,1.05,-1.385,-0.002,0.004,0,1.188337,-0.845775,0.180731,-0.009584,0.187854,-0.031629
0.033,0.036301,1.040984,-1.379459,-0.008379,0.009331,-0.006329,0.018,1.047,-1.385,-0.002,0.004,-0.001,1.386787,-0.574087,0.180731,-0.009584,0.187854,-0.057506
0.0351,0.038395,1.040569,-1.378503,-0.0089,0.00992,-0.006693,0.018,1.047,-1.378,-0.003,0.002,-0.001,1.386787,-0.574087,-0.02835,-0.033545,0.136098,-0.057506
0.0374,0.040725,1.0401,-1.377441,-0.009484,0.010584,-0.007097,0.018,1.047,-1.378,-0.003,0.002,-0.001,1.386787,-0.574087,-0.02835,-0.033545,0.136098,-0.057506
0.0395,0.042776,1.039681,-1.376508,-0.010003,0.011176,-0.007452,0.018,1.047,-1.378,-0.003,0.002,-0.001,1.386787,-0.574087,-0.02835,-0.033545,0.136098,-0.077634
0.0415,0.044817,1.039257,-1.375581,-0.010523,0.011773,-0.007804,0.028,1.044,-1.373,-0.003,0.002,-0.001,1.3986,-0.458325,-0.209081,-0.033545,0.136098,-0.077634
0.0437,0.046924,1.038813,-1.374626,-0.011064,0.012397,-0.008167,0.028,1.044,-1.373,-0.006,0,-0.002,1.3986,-0.458325,-0.209081,-0.013418,0.179228,-0.10447
0.0458,0.048922,1.038386,-1.373723,-0.011582,0.012996,-0.008509,0.028,1.044,-1.373,-0.006,0,-0.002,1.3986,-0.458325,-0.209081,-0.013418,0.179228,-0.10447
0.0482,0.051254,1.037881,-1.372671,-0.01219,0.013706,-0.008907,0.039,1.04,-1.368,-0.006,0,-0.002,0.983981,-0.253969,-1.090294,-0.013418,0.179228,-0.10447
