time_s,joint1_target_angle_rad,joint2_target_angle_rad,joint3_target_angle_rad,joint4_target_angle_rad,joint5_target_angle_rad,joint6_target_angle_rad,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm,mode,pose_idx
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.000000,-0.005000,0.004000,0.040000,0.021000,-0.076000,0.008269,0.791437,-1.197788,-0.055590,-1.245972,0.000958,static_pose,0
0.0021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.000000,-0.005000,0.004000,-0.055000,0.000000,0.017000,0.008269,0.791437,-1.190700,-0.041213,-1.243097,-0.025878,static_pose,0
0.0056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,-0.003000,-0.005000,0.003000,0.024000,0.005000,0.017000,0.011813,0.791437,-1.183612,-0.071883,-1.232554,-0.025878,static_pose,0
0.0077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,-0.003000,-0.005000,0.003000,0.024000,0.005000,0.017000,0.011813,0.791437,-1.183612,-0.071883,-1.232554,-0.025878,static_pose,0
0.0099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,-0.003000,-0.001000,0.003000,0.024000,0.005000,0.017000,0.011813,0.783169,-1.183612,-0.071883,-1.232554,-0.025878,static_pose,0
0.0120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,-0.003000,-0.001000,0.003000,0.024000,-0.024000,0.074000,0.011813,0.783169,-1.183612,-0.071883,-1.237346,0.003834,static_pose,0
0.0143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,-0.003000,-0.001000,0.003000,0.024000,-0.024000,0.074000,0.011813,0.783169,-1.183612,-0.071883,-1.237346,0.003834,static_pose,0
0.0164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.000000,0.000000,-0.004000,0.009000,-0.024000,0.005000,-0.001181,0.776081,-1.183612,-0.056548,-1.237346,0.000000,static_pose,0
0.0186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.000000,0.000000,-0.004000,0.009000,-0.024000,0.005000,-0.001181,0.776081,-1.183612,-0.056548,-1.237346,0.000000,static_pose,0
0.0214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,-0.007000,0.000000,-0.008000,0.000000,0.000000,0.000000,-0.002000,-0.047000,-0.005000,0.005000,0.000000,0.776081,-1.169438,-0.053673,-1.240221,0.000000,static_pose,0
