time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_vel_rad_s,joint2_vel_rad_s,joint3_vel_rad_s,joint4_vel_rad_s,joint5_vel_rad_s,joint6_vel_rad_s,joint1_acc_rad_s2,joint2_acc_rad_s2,joint3_acc_rad_s2,joint4_acc_rad_s2,joint5_acc_rad_s2,joint6_acc_rad_s2
0.0,0.0,0.006,-0.007,0.0,-0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0573552615477682e-13,-1.0573552615477682e-13,0.0,5.286776307738841e-14,0.0
0.0021,0.0,0.006,-0.007,0.0,-0.008,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0,1.1102230246251565e-16,0.0,0.0,-4.229421046191073e-14,5.286776307738831e-15,0.0,2.1147105230955366e-14,0.0
0.0056,0.0,0.006,-0.007,0.0,-0.008,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,8.987519723156028e-14,-6.079792753899663e-14,0.0,-7.797995053914788e-14,0.0
0.0077,0.0,0.006,-0.007,0.0,-0.008,0.0,0.0,2.220446049250313e-16,0.0,0.0,-2.220446049250313e-16,0.0,0.0,4.806160279762594e-15,-1.0819449187930649e-13,0.0,4.4484925380128064e-14,0.0
0.0099,0.0,0.006,-0.007,0.0,-0.008,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,-4.9291085659890646e-14,0.0,0.0,4.448492538012801e-14,0.0
0.012,0.0,0.006,-0.007,0.0,-0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.527084321726972e-14,0.0
0.0143,0.0,0.006,-0.007,0.0,-0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0164,0.0,0.006,-0.007,0.0,-0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4645542829945392e-14,4.9291085659890785e-14,0.0,4.9291085659890785e-14,0.0
0.0186,0.0,0.006,-0.007,0.0,-0.008,0.0,0.0,-1.1102230246251565e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,-1.0813860629465884e-14,5.6520444890008086e-14,0.0,9.14131685210844e-14,0.0
0.0214,0.0,0.006,-0.007,0.0,-0.008,0.0,0.0,0.0,2.220446049250313e-16,0.0,4.440892098500626e-16,0.0,0.0,1.6993209560589132e-14,-6.042030065987242e-14,0.0,-8.685418219856658e-14,0.0
0.0235,0.0,0.006,-0.007,0.0,-0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2867763077388377e-14,5.2867763077388377e-14,0.0,0.0,0.0
