time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_velocity_rad_s,joint2_velocity_rad_s,joint3_velocity_rad_s,joint4_velocity_rad_s,joint5_velocity_rad_s,joint6_velocity_rad_s,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm
0.0000,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,-0.002000,-0.003000,-0.011000,-0.013000,-0.013000,0.005000,-0.125213,-0.680400,-0.864675,0.014377,-0.587524,-0.006709
0.0021,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,-0.002000,-0.003000,-0.011000,-0.013000,-0.013000,0.005000,-0.125213,-0.680400,-0.864675,0.014377,-0.587524,-0.006709
0.0049,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.005000,-0.003000,-0.001000,-0.001000,-0.013000,-0.001000,-0.145294,-0.680400,-0.868219,0.009584,-0.587524,-0.005751
0.0069,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.005000,-0.003000,-0.001000,-0.001000,-0.013000,-0.001000,-0.145294,-0.680400,-0.868219,0.009584,-0.587524,-0.005751
0.0090,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.000000,-0.003000,-0.001000,-0.001000,-0.013000,-0.001000,-0.145294,-0.680400,-0.868219,0.009584,-0.587524,-0.005751
0.0111,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.000000,0.000000,-0.001000,-0.011000,-0.009000,0.003000,-0.145294,-0.693394,-0.868219,0.006709,-0.579856,-0.030670
0.0132,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.000000,0.000000,-0.001000,-0.011000,-0.009000,0.003000,-0.145294,-0.693394,-0.868219,0.006709,-0.579856,-0.030670
0.0152,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.001000,0.000000,0.000000,-0.011000,0.009000,0.003000,-0.134662,-0.698119,-0.856406,0.006709,-0.581773,-0.030670
0.0173,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.001000,0.000000,0.000000,-0.011000,0.009000,0.003000,-0.134662,-0.698119,-0.856406,0.006709,-0.581773,-0.030670
0.0194,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.001000,0.000000,-0.002000,0.021000,0.009000,0.003000,-0.134662,-0.679219,-0.851681,0.004792,-0.581773,-0.030670
0.0215,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.001000,0.000000,-0.002000,0.021000,0.011000,-0.003000,-0.134662,-0.679219,-0.851681,0.004792,-0.579856,-0.013418
0.0237,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.001000,0.000000,-0.002000,0.021000,0.011000,-0.003000,-0.134662,-0.679219,-0.851681,0.004792,-0.579856,-0.013418
0.0258,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.001000,0.000000,0.000000,-0.005000,0.011000,-0.007000,-0.150019,-0.679219,-0.855225,0.005751,-0.579856,-0.009584
0.0279,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.001000,0.000000,0.000000,-0.005000,0.011000,-0.007000,-0.150019,-0.679219,-0.855225,0.005751,-0.579856,-0.009584
0.0299,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.007000,0.000000,-0.146475,-0.678037,-0.855225,0.006709,-0.569313,-0.012460
0.0320,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.007000,0.000000,-0.146475,-0.678037,-0.855225,0.006709,-0.569313,-0.012460
0.0343,0.000000,1.392000,-0.354000,0.002000,-0.007000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007000,0.000000,-0.146475,-0.687487,-0.855225,0.006709,-0.569313,-0.012460
